Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
262,-77.3521,38.95035,hotel,temporary residence,,temporary residence
77,-89.3012,43.13618,hotel - visiting a friend,temporary residence,errands,errands
48,-89.3824,43.07659,hotel (brother’s temp. residence),temporary residence,errands,errands
38,-88.1318,41.80496,hotel vb,temporary residence,,temporary residence
169,-89.2306,43.19274,house hunting,recovery and health,errands,errands
169,-89.231,43.19307,house hunting,recovery and health,errands,errands
169,-89.2925,43.08524,house hunting,recovery and health,errands,errands
169,-89.3646,43.04299,house hunting,recovery and health,errnads,errands
25,-80.9751,29.16348,housing on vacation,temporary residence,,temporary residence
25,-82.7062,28.36086,housing on vacation,temporary residence,,temporary residence
20,-91.2853,44.54612,hunting,recovery and health,community space / recreation,community space / recreation
20,-91.2846,44.54429,hunting,recovery and health,community space / recreation,community space / recreation
20,-91.2803,44.54441,hunting,recovery and health,community space / recreation,community space / recreation
23,-91.8376,44.82346,hunting,recovery and health,community space / recreation,community space / recreation
130,-89.287,43.02916,ice rink,recovery and health,community space / recreation,community space / recreation
130,-89.4866,43.04846,ice rink,recovery and health,community space / recreation,community space / recreation
40,-89.4584,43.01161,icombat,,,
7,-89.3936,43.04847,improv practice space workshops,public community spaces,community space / recreation,community space / recreation
270,-86.2369,39.78746,indie 500,,public drinking space,public drinking space
222,-89.4344,43.0731,infinite vapor,,errands,errands
179,-89.3553,43.11507,insurance agent,public community spaces,errands,errands
234,-89.3902,43.07536,interstate plasma,,public drinking space,public drinking space
248,-89.3698,43.08523,jiffy lube,,errands,errands
66,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
150,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
204,-89.361,43.11344,job center,public community spaces,community space / recreation,community space / recreation
32,-89.361,43.11344,job center + other services,public community spaces,community space / recreation,community space / recreation
52,-89.4808,43.04872,journey,,recovery and health,recovery and health
58,-80.7566,32.18522,kayak,public community spaces,community space / recreation,community space / recreation
214,-89.5459,43.0431,kid’s school,public community spaces,errands,errands
225,-89.3324,43.21737,kid’s school,public community spaces,errands,errands
265,-89.2966,43.09471,kid’s school,public community spaces,errands,errands
245,-89.3501,43.12757,kids camp,public community spaces,errands,errands
187,-89.4727,43.07944,kids grandmas house,others' home,,others' home
187,-89.4979,43.05709,kids martial arts,public community spaces,errands,errands
40,-89.2059,43.09729,kids school,public community spaces,errands,errands
40,-89.2219,43.09096,kids school,public community spaces,errands,errands
40,-89.3234,43.07182,kids school,public community spaces,errands,errands
94,-89.0372,42.5137,kids school,public community spaces,errands,errands
187,-89.4892,43.02452,kids school,public community spaces,errands,errands
119,-90.6472,42.986,kids sports game,public community spaces,errands,errands
262,-89.3969,43.06935,kohl center,public community spaces,public drinking space,public drinking space
92,-88.7826,44.19063,lake / river / boating,public community spaces,community space / recreation,community space / recreation
